DateTime,Open,High,Low,Close,Volume
20171011 22:00:00.000,1.18604,1.18647,1.18597,1.18628,2147739000
20171011 23:00:00.000,1.18628,1.18655,1.18598,1.18640,4217679000
20171012 00:00:00.000,1.18640,1.18715,1.18585,1.18639,8146471000
20171012 01:00:00.000,1.18639,1.18758,1.18628,1.18698,5646239000
20171012 02:00:00.000,1.18698,1.18752,1.18673,1.18740,5998278000
20171012 03:00:00.000,1.18740,1.18780,1.18722,1.18750,4271665000
20171012 04:00:00.000,1.18751,1.18785,1.18736,1.18761,4230282000
20171012 05:00:00.000,1.18762,1.18797,1.18720,1.18779,5133205000
20171012 06:00:00.000,1.18779,1.18786,1.18645,1.18668,7568813000
20171012 07:00:00.000,1.18668,1.18687,1.18560,1.18670,12235072000
20171012 08:00:00.000,1.18670,1.18671,1.18595,1.18622,8147389000
20171012 09:00:00.000,1.18622,1.18660,1.18509,1.18522,10823942000
20171012 10:00:00.000,1.18522,1.18564,1.18512,1.18536,7474025000
20171012 11:00:00.000,1.18536,1.18619,1.18514,1.18542,9472655000
20171012 12:00:00.000,1.18542,1.18583,1.18405,1.18473,15722454000
20171012 13:00:00.000,1.18473,1.18519,1.18286,1.18329,11749517000
20171012 14:00:00.000,1.18330,1.18496,1.18306,1.18466,14161433000
20171012 15:00:00.000,1.18466,1.18478,1.18345,1.18403,11206857000
20171012 16:00:00.000,1.18403,1.18474,1.18338,1.18350,13424035000
20171012 17:00:00.000,1.18351,1.18505,1.18269,1.18468,12478047000
20171012 18:00:00.000,1.18468,1.18489,1.18340,1.18350,8703744000
20171012 19:00:00.000,1.18350,1.18381,1.18300,1.18350,6551613000
20171012 20:00:00.000,1.18349,1.18351,1.18278,1.18294,3365813000
20171012 21:00:00.000,1.18279,1.18337,1.18273,1.18310,1360932000
20171012 22:00:00.000,1.18310,1.18375,1.18297,1.18346,2573497000
20171012 23:00:00.000,1.18346,1.18346,1.18251,1.18309,4080082000
20171013 00:00:00.000,1.18310,1.18445,1.18287,1.18442,5297574000
20171013 01:00:00.000,1.18442,1.18473,1.18376,1.18441,4311722000
20171013 02:00:00.000,1.18441,1.18515,1.18423,1.18491,4193605000
20171013 03:00:00.000,1.18491,1.18510,1.18457,1.18477,2473967000
20171013 04:00:00.000,1.18478,1.18489,1.18436,1.18454,2616935000
20171013 05:00:00.000,1.18454,1.18515,1.18442,1.18465,3954326000
20171013 06:00:00.000,1.18466,1.18484,1.18356,1.18383,8964859000
20171013 07:00:00.000,1.18384,1.18387,1.18151,1.18291,16619327000
20171013 08:00:00.000,1.18291,1.18357,1.18256,1.18311,8464318000
20171013 09:00:00.000,1.18310,1.18344,1.18244,1.18296,9492970000
20171013 10:00:00.000,1.18296,1.18336,1.18194,1.18261,8586142000
